temp (C),CMRR1 mcparamset 1  (dB),CMRR1 mcparamset 2  (dB),CMRR1 mcparamset 3  (dB),CMRR1 mcparamset 4  (dB),CMRR1 mcparamset 5  (dB),CMRR1 mcparamset 6  (dB),CMRR1 mcparamset 7  (dB),CMRR1 mcparamset 8  (dB),CMRR1 mcparamset 9  (dB),CMRR1 mcparamset 10  (dB),CMRR1 mcparamset 11  (dB),CMRR1 mcparamset 12  (dB),CMRR1 mcparamset 13  (dB),CMRR1 mcparamset 14  (dB),CMRR1 mcparamset 15  (dB),CMRR1 mcparamset 16  (dB),CMRR1 mcparamset 17  (dB),CMRR1 mcparamset 18  (dB),CMRR1 mcparamset 19  (dB),CMRR1 mcparamset 20  (dB),CMRR1 mcparamset 21  (dB),CMRR1 mcparamset 22  (dB),CMRR1 mcparamset 23  (dB),CMRR1 mcparamset 24  (dB),CMRR1 mcparamset 25  (dB),CMRR1 mcparamset 26  (dB),CMRR1 mcparamset 27  (dB),CMRR1 mcparamset 28  (dB),CMRR1 mcparamset 29  (dB),CMRR1 mcparamset 30  (dB),CMRR1 mcparamset 31  (dB),CMRR1 mcparamset 32  (dB),CMRR1 mcparamset 33  (dB),CMRR1 mcparamset 34  (dB),CMRR1 mcparamset 35  (dB),CMRR1 mcparamset 36  (dB),CMRR1 mcparamset 37  (dB),CMRR1 mcparamset 38  (dB),CMRR1 mcparamset 39  (dB),CMRR1 mcparamset 40  (dB),CMRR1 mcparamset 41  (dB),CMRR1 mcparamset 42  (dB),CMRR1 mcparamset 43  (dB),CMRR1 mcparamset 44  (dB),CMRR1 mcparamset 45  (dB),CMRR1 mcparamset 46  (dB),CMRR1 mcparamset 47  (dB),CMRR1 mcparamset 48  (dB),CMRR1 mcparamset 49  (dB),CMRR1 mcparamset 50  (dB),CMRR1 mcparamset 51  (dB),CMRR1 mcparamset 52  (dB),CMRR1 mcparamset 53  (dB),CMRR1 mcparamset 54  (dB),CMRR1 mcparamset 55  (dB),CMRR1 mcparamset 56  (dB),CMRR1 mcparamset 57  (dB),CMRR1 mcparamset 58  (dB),CMRR1 mcparamset 59  (dB),CMRR1 mcparamset 60  (dB),CMRR1 mcparamset 61  (dB),CMRR1 mcparamset 62  (dB),CMRR1 mcparamset 63  (dB),CMRR1 mcparamset 64  (dB),CMRR1 mcparamset 65  (dB),CMRR1 mcparamset 66  (dB),CMRR1 mcparamset 67  (dB),CMRR1 mcparamset 68  (dB),CMRR1 mcparamset 69  (dB),CMRR1 mcparamset 70  (dB),CMRR1 mcparamset 71  (dB),CMRR1 mcparamset 72  (dB),CMRR1 mcparamset 73  (dB),CMRR1 mcparamset 74  (dB),CMRR1 mcparamset 75  (dB),CMRR1 mcparamset 76  (dB),CMRR1 mcparamset 77  (dB),CMRR1 mcparamset 78  (dB),CMRR1 mcparamset 79  (dB),CMRR1 mcparamset 80  (dB),CMRR1 mcparamset 81  (dB),CMRR1 mcparamset 82  (dB),CMRR1 mcparamset 83  (dB),CMRR1 mcparamset 84  (dB),CMRR1 mcparamset 85  (dB),CMRR1 mcparamset 86  (dB),CMRR1 mcparamset 87  (dB),CMRR1 mcparamset 88  (dB),CMRR1 mcparamset 89  (dB),CMRR1 mcparamset 90  (dB),CMRR1 mcparamset 91  (dB),CMRR1 mcparamset 92  (dB),CMRR1 mcparamset 93  (dB),CMRR1 mcparamset 94  (dB),CMRR1 mcparamset 95  (dB),CMRR1 mcparamset 96  (dB),CMRR1 mcparamset 97  (dB),CMRR1 mcparamset 98  (dB),CMRR1 mcparamset 99  (dB),CMRR1 mcparamset 100  (dB),CMRR2 mcparamset 1  (dB),CMRR2 mcparamset 2  (dB),CMRR2 mcparamset 3  (dB),CMRR2 mcparamset 4  (dB),CMRR2 mcparamset 5  (dB),CMRR2 mcparamset 6  (dB),CMRR2 mcparamset 7  (dB),CMRR2 mcparamset 8  (dB),CMRR2 mcparamset 9  (dB),CMRR2 mcparamset 10  (dB),CMRR2 mcparamset 11  (dB),CMRR2 mcparamset 12  (dB),CMRR2 mcparamset 13  (dB),CMRR2 mcparamset 14  (dB),CMRR2 mcparamset 15  (dB),CMRR2 mcparamset 16  (dB),CMRR2 mcparamset 17  (dB),CMRR2 mcparamset 18  (dB),CMRR2 mcparamset 19  (dB),CMRR2 mcparamset 20  (dB),CMRR2 mcparamset 21  (dB),CMRR2 mcparamset 22  (dB),CMRR2 mcparamset 23  (dB),CMRR2 mcparamset 24  (dB),CMRR2 mcparamset 25  (dB),CMRR2 mcparamset 26  (dB),CMRR2 mcparamset 27  (dB),CMRR2 mcparamset 28  (dB),CMRR2 mcparamset 29  (dB),CMRR2 mcparamset 30  (dB),CMRR2 mcparamset 31  (dB),CMRR2 mcparamset 32  (dB),CMRR2 mcparamset 33  (dB),CMRR2 mcparamset 34  (dB),CMRR2 mcparamset 35  (dB),CMRR2 mcparamset 36  (dB),CMRR2 mcparamset 37  (dB),CMRR2 mcparamset 38  (dB),CMRR2 mcparamset 39  (dB),CMRR2 mcparamset 40  (dB),CMRR2 mcparamset 41  (dB),CMRR2 mcparamset 42  (dB),CMRR2 mcparamset 43  (dB),CMRR2 mcparamset 44  (dB),CMRR2 mcparamset 45  (dB),CMRR2 mcparamset 46  (dB),CMRR2 mcparamset 47  (dB),CMRR2 mcparamset 48  (dB),CMRR2 mcparamset 49  (dB),CMRR2 mcparamset 50  (dB),CMRR2 mcparamset 51  (dB),CMRR2 mcparamset 52  (dB),CMRR2 mcparamset 53  (dB),CMRR2 mcparamset 54  (dB),CMRR2 mcparamset 55  (dB),CMRR2 mcparamset 56  (dB),CMRR2 mcparamset 57  (dB),CMRR2 mcparamset 58  (dB),CMRR2 mcparamset 59  (dB),CMRR2 mcparamset 60  (dB),CMRR2 mcparamset 61  (dB),CMRR2 mcparamset 62  (dB),CMRR2 mcparamset 63  (dB),CMRR2 mcparamset 64  (dB),CMRR2 mcparamset 65  (dB),CMRR2 mcparamset 66  (dB),CMRR2 mcparamset 67  (dB),CMRR2 mcparamset 68  (dB),CMRR2 mcparamset 69  (dB),CMRR2 mcparamset 70  (dB),CMRR2 mcparamset 71  (dB),CMRR2 mcparamset 72  (dB),CMRR2 mcparamset 73  (dB),CMRR2 mcparamset 74  (dB),CMRR2 mcparamset 75  (dB),CMRR2 mcparamset 76  (dB),CMRR2 mcparamset 77  (dB),CMRR2 mcparamset 78  (dB),CMRR2 mcparamset 79  (dB),CMRR2 mcparamset 80  (dB),CMRR2 mcparamset 81  (dB),CMRR2 mcparamset 82  (dB),CMRR2 mcparamset 83  (dB),CMRR2 mcparamset 84  (dB),CMRR2 mcparamset 85  (dB),CMRR2 mcparamset 86  (dB),CMRR2 mcparamset 87  (dB),CMRR2 mcparamset 88  (dB),CMRR2 mcparamset 89  (dB),CMRR2 mcparamset 90  (dB),CMRR2 mcparamset 91  (dB),CMRR2 mcparamset 92  (dB),CMRR2 mcparamset 93  (dB),CMRR2 mcparamset 94  (dB),CMRR2 mcparamset 95  (dB),CMRR2 mcparamset 96  (dB),CMRR2 mcparamset 97  (dB),CMRR2 mcparamset 98  (dB),CMRR2 mcparamset 99  (dB),CMRR2 mcparamset 100  (dB)
56.0000,123.759,120.275,116.470,135.795,120.321,124.479,130.941,117.265,150.894,134.112,125.867,130.146,132.214,121.261,121.415,129.770,117.056,125.060,145.210,126.344,160.445,122.177,124.697,130.531,120.286,129.260,151.408,115.510,137.409,111.030,128.015,113.891,114.884,122.349,132.993,113.944,135.164,125.434,131.248,154.852,142.094,117.049,127.196,124.358,146.737,136.106,119.996,126.718,135.460,115.499,127.840,118.016,114.693,118.408,121.398,115.146,124.614,130.150,130.108,114.839,116.696,142.110,128.863,128.045,119.115,118.018,142.476,138.937,150.666,113.828,120.188,116.944,129.243,147.082,141.781,117.817,127.642,124.259,115.076,118.636,121.348,129.365,163.453,115.286,116.799,128.686,115.808,128.719,120.064,118.749,124.896,113.634,131.742,142.339,116.683,134.703,126.397,115.890,144.259,136.395,123.640,115.197,122.841,122.035,114.818,119.436,118.591,122.969,120.101,115.648,130.893,126.699,119.603,126.030,120.439,126.625,126.231,118.163,120.287,114.365,117.640,112.271,126.805,121.031,131.704,115.658,119.616,118.535,140.211,115.845,113.877,111.998,119.457,122.708,113.748,114.285,115.755,126.488,127.565,139.083,128.318,126.498,136.639,146.842,135.979,127.015,119.909,119.925,116.271,144.143,123.887,117.866,114.098,134.544,118.536,120.911,131.477,136.913,119.802,142.553,124.477,124.289,128.925,120.397,118.383,122.069,158.403,118.387,122.924,137.185,111.456,131.549,119.049,117.096,128.266,123.242,117.047,122.737,119.800,121.954,117.265,129.353,138.096,122.829,122.891,126.912,123.001,124.614,116.906,117.935,122.218,115.760,122.465,122.304,121.877,122.650,117.078,120.176,115.667,131.091
58.0000,123.712,120.234,116.426,135.762,120.277,124.440,130.910,117.221,150.921,134.075,125.826,130.102,132.166,121.222,121.376,129.723,117.017,125.012,145.079,126.298,160.423,122.141,124.655,130.486,120.245,129.231,151.433,115.469,137.338,110.987,127.978,113.852,114.842,122.311,132.952,113.901,135.085,125.395,131.199,154.820,142.050,117.012,127.149,124.323,146.705,136.071,119.958,126.682,135.446,115.459,127.785,117.974,114.651,118.366,121.358,115.105,124.572,130.103,130.066,114.798,116.657,142.059,128.823,127.999,119.080,117.976,142.383,138.921,150.519,113.789,120.145,116.899,129.208,147.101,141.755,117.778,127.607,124.214,115.033,118.594,121.304,129.315,164.011,115.246,116.758,128.641,115.764,128.680,120.026,118.709,124.859,113.596,131.708,142.307,116.642,134.675,126.351,115.851,144.227,136.351,123.593,115.155,122.799,121.990,114.780,119.392,118.549,122.928,120.062,115.604,130.852,126.661,119.567,125.987,120.396,126.582,126.196,118.121,120.243,114.325,117.599,112.230,126.763,120.989,131.657,115.619,119.577,118.493,140.177,115.804,113.837,111.961,119.417,122.667,113.708,114.247,115.714,126.454,127.531,139.015,128.282,126.458,136.595,146.755,135.938,126.970,119.864,119.881,116.228,144.103,123.845,117.824,114.058,134.506,118.496,120.875,131.437,136.899,119.761,142.463,124.438,124.249,128.884,120.355,118.340,122.029,158.635,118.344,122.887,137.157,111.412,131.507,119.010,117.056,128.218,123.200,117.007,122.690,119.758,121.911,117.222,129.303,138.043,122.787,122.846,126.870,122.960,124.574,116.863,117.894,122.174,115.721,122.428,122.264,121.838,122.609,117.033,120.141,115.625,131.053
60.0000,123.667,120.193,116.381,135.730,120.233,124.401,130.879,117.178,150.951,134.039,125.786,130.059,132.119,121.184,121.337,129.677,116.979,124.964,144.950,126.253,160.403,122.105,124.613,130.441,120.203,129.202,151.459,115.430,137.268,110.944,127.942,113.813,114.800,122.273,132.911,113.859,135.007,125.356,131.150,154.789,142.007,116.975,127.102,124.289,146.675,136.037,119.921,126.647,135.433,115.419,127.731,117.932,114.609,118.325,121.318,115.065,124.530,130.055,130.024,114.758,116.619,142.007,128.784,127.953,119.045,117.934,142.291,138.906,150.372,113.750,120.102,116.855,129.174,147.121,141.729,117.740,127.572,124.169,114.991,118.554,121.261,129.266,164.623,115.207,116.718,128.595,115.722,128.642,119.988,118.669,124.822,113.559,131.675,142.274,116.602,134.647,126.305,115.812,144.195,136.309,123.547,115.114,122.757,121.947,114.743,119.349,118.508,122.888,120.024,115.561,130.812,126.625,119.532,125.944,120.354,126.539,126.162,118.080,120.199,114.285,117.558,112.189,126.721,120.947,131.610,115.580,119.538,118.452,140.144,115.765,113.798,111.925,119.377,122.626,113.668,114.209,115.675,126.420,127.498,138.947,128.246,126.418,136.552,146.667,135.897,126.925,119.820,119.839,116.185,144.063,123.804,117.783,114.018,134.468,118.456,120.839,131.399,136.887,119.722,142.374,124.400,124.209,128.845,120.314,118.297,121.990,158.880,118.302,122.851,137.130,111.368,131.467,118.971,117.015,128.170,123.158,116.967,122.644,119.717,121.868,117.180,129.253,137.992,122.746,122.802,126.829,122.919,124.536,116.820,117.855,122.132,115.683,122.392,122.224,121.799,122.567,116.989,120.106,115.583,131.016
62.0000,123.622,120.152,116.338,135.698,120.190,124.363,130.849,117.135,150.982,134.004,125.746,130.016,132.073,121.146,121.299,129.632,116.941,124.917,144.821,126.209,160.384,122.070,124.572,130.397,120.163,129.174,151.488,115.391,137.198,110.902,127.906,113.775,114.759,122.235,132.871,113.817,134.929,125.318,131.101,154.761,141.965,116.938,127.056,124.256,146.645,136.003,119.884,126.612,135.421,115.380,127.677,117.891,114.568,118.284,121.279,115.026,124.489,130.009,129.982,114.718,116.582,141.956,128.746,127.908,119.012,117.893,142.199,138.892,150.226,113.711,120.060,116.811,129.140,147.143,141.705,117.703,127.537,124.125,114.950,118.514,121.218,129.217,165.298,115.169,116.679,128.551,115.680,128.605,119.951,118.630,124.786,113.523,131.642,142.243,116.562,134.620,126.261,115.774,144.164,136.267,123.501,115.074,122.716,121.904,114.706,119.306,118.468,122.848,119.986,115.519,130.773,126.589,119.497,125.902,120.313,126.497,126.128,118.040,120.156,114.247,117.518,112.149,126.680,120.906,131.564,115.543,119.500,118.411,140.111,115.725,113.759,111.890,119.338,122.586,113.629,114.171,115.636,126.387,127.465,138.879,128.211,126.379,136.509,146.581,135.857,126.881,119.777,119.796,116.144,144.025,123.763,117.742,113.979,134.431,118.418,120.803,131.361,136.876,119.682,142.285,124.363,124.170,128.806,120.273,118.256,121.952,159.137,118.261,122.816,137.103,111.325,131.427,118.934,116.976,128.122,123.116,116.929,122.599,119.676,121.826,117.139,129.204,137.940,122.706,122.759,126.788,122.879,124.498,116.777,117.815,122.090,115.645,122.356,122.185,121.762,122.527,116.945,120.072,115.542,130.979
64.0000,123.577,120.112,116.294,135.667,120.147,124.326,130.820,117.093,151.016,133.969,125.707,129.974,132.027,121.109,121.261,129.587,116.904,124.870,144.692,126.165,160.366,122.036,124.532,130.354,120.122,129.148,151.519,115.352,137.128,110.861,127.871,113.738,114.718,122.199,132.831,113.776,134.852,125.280,131.053,154.735,141.923,116.903,127.011,124.224,146.617,135.970,119.848,126.578,135.410,115.342,127.623,117.851,114.528,118.244,121.241,114.987,124.449,129.962,129.942,114.679,116.546,141.906,128.709,127.864,118.979,117.852,142.107,138.879,150.081,113.674,120.019,116.768,129.107,147.167,141.681,117.667,127.504,124.081,114.910,118.474,121.176,129.168,166.048,115.131,116.640,128.507,115.638,128.568,119.914,118.592,124.751,113.487,131.610,142.212,116.522,134.594,126.217,115.737,144.133,136.226,123.456,115.034,122.676,121.861,114.670,119.264,118.429,122.809,119.949,115.477,130.734,126.553,119.463,125.860,120.272,126.456,126.096,118.000,120.114,114.209,117.478,112.110,126.640,120.866,131.519,115.505,119.463,118.371,140.080,115.687,113.720,111.856,119.299,122.547,113.590,114.135,115.597,126.354,127.433,138.812,128.177,126.341,136.467,146.494,135.817,126.838,119.734,119.755,116.102,143.987,123.722,117.702,113.941,134.395,118.379,120.769,131.323,136.865,119.644,142.196,124.327,124.132,128.768,120.233,118.215,121.914,159.407,118.221,122.781,137.078,111.283,131.388,118.896,116.937,128.075,123.076,116.891,122.553,119.636,121.785,117.098,129.156,137.890,122.666,122.715,126.748,122.840,124.461,116.736,117.777,122.048,115.607,122.322,122.147,121.725,122.487,116.902,120.039,115.501,130.942
66.0000,123.534,120.073,116.252,135.638,120.105,124.290,130.792,117.052,151.052,133.934,125.668,129.933,131.982,121.073,121.225,129.544,116.868,124.825,144.565,126.122,160.350,122.003,124.492,130.311,120.083,129.122,151.551,115.315,137.059,110.820,127.837,113.701,114.678,122.163,132.792,113.736,134.775,125.243,131.006,154.711,141.882,116.868,126.966,124.193,146.590,135.938,119.813,126.545,135.400,115.304,127.571,117.811,114.488,118.205,121.204,114.949,124.409,129.917,129.901,114.641,116.510,141.856,128.672,127.820,118.947,117.813,142.016,138.867,149.936,113.637,119.979,116.725,129.075,147.192,141.659,117.631,127.471,124.038,114.870,118.436,121.134,129.121,166.889,115.093,116.602,128.463,115.597,128.532,119.878,118.554,124.716,113.453,131.579,142.181,116.483,134.569,126.173,115.700,144.103,136.186,123.412,114.996,122.637,121.820,114.635,119.223,118.390,122.770,119.913,115.435,130.696,126.519,119.430,125.819,120.232,126.415,126.064,117.961,120.072,114.171,117.439,112.071,126.600,120.826,131.474,115.469,119.427,118.332,140.049,115.649,113.683,111.822,119.261,122.509,113.553,114.099,115.559,126.323,127.402,138.745,128.144,126.303,136.425,146.409,135.778,126.796,119.692,119.714,116.062,143.950,123.682,117.662,113.904,134.359,118.342,120.735,131.287,136.856,119.606,142.108,124.291,124.094,128.731,120.193,118.174,121.877,159.692,118.181,122.747,137.053,111.242,131.349,118.860,116.899,128.029,123.036,116.853,122.509,119.597,121.744,117.058,129.108,137.839,122.627,122.673,126.709,122.801,124.424,116.695,117.739,122.008,115.571,122.288,122.109,121.689,122.448,116.859,120.007,115.461,130.907
68.0000,123.491,120.035,116.210,135.609,120.064,124.254,130.764,117.011,151.091,133.901,125.630,129.892,131.938,121.037,121.189,129.500,116.832,124.779,144.438,126.080,160.335,121.970,124.453,130.269,120.044,129.096,151.585,115.278,136.990,110.779,127.803,113.665,114.639,122.127,132.754,113.696,134.699,125.207,130.958,154.689,141.843,116.833,126.922,124.162,146.565,135.906,119.779,126.513,135.391,115.267,127.518,117.771,114.449,118.166,121.167,114.911,124.370,129.871,129.862,114.604,116.475,141.807,128.636,127.777,118.916,117.774,141.926,138.856,149.793,113.601,119.939,116.683,129.044,147.219,141.637,117.596,127.439,123.996,114.831,118.398,121.093,129.074,167.844,115.057,116.565,128.420,115.557,128.497,119.843,118.517,124.682,113.419,131.548,142.151,116.445,134.545,126.131,115.664,144.074,136.147,123.368,114.957,122.598,121.779,114.600,119.183,118.351,122.732,119.877,115.394,130.658,126.485,119.398,125.778,120.193,126.375,126.033,117.923,120.031,114.135,117.401,112.033,126.562,120.787,131.430,115.433,119.391,118.294,140.018,115.612,113.646,111.790,119.224,122.471,113.516,114.064,115.522,126.292,127.372,138.679,128.111,126.266,136.384,146.323,135.739,126.754,119.651,119.673,116.022,143.914,123.643,117.623,113.867,134.325,118.305,120.701,131.251,136.848,119.569,142.020,124.256,124.058,128.694,120.154,118.134,121.840,159.992,118.142,122.714,137.029,111.201,131.311,118.824,116.861,127.983,122.997,116.816,122.465,119.558,121.704,117.018,129.061,137.790,122.589,122.631,126.670,122.763,124.388,116.654,117.702,121.968,115.535,122.254,122.072,121.653,122.409,116.818,119.975,115.422,130.872
70.0000,123.449,119.997,116.169,135.581,120.023,124.219,130.738,116.971,151.132,133.868,125.593,129.853,131.894,121.002,121.153,129.458,116.797,124.735,144.311,126.039,160.321,121.938,124.415,130.227,120.006,129.072,151.622,115.242,136.921,110.740,127.771,113.630,114.601,122.093,132.716,113.658,134.623,125.171,130.912,154.670,141.804,116.800,126.879,124.133,146.541,135.875,119.745,126.481,135.384,115.231,127.466,117.732,114.411,118.128,121.131,114.874,124.332,129.827,129.823,114.567,116.441,141.758,128.601,127.734,118.885,117.736,141.835,138.846,149.650,113.565,119.899,116.642,129.014,147.248,141.617,117.561,127.408,123.954,114.792,118.360,121.053,129.027,168.943,115.021,116.529,128.378,115.517,128.462,119.809,118.481,124.649,113.386,131.518,142.121,116.408,134.521,126.089,115.629,144.045,136.108,123.325,114.920,122.559,121.738,114.566,119.143,118.314,122.695,119.842,115.354,130.621,126.451,119.366,125.739,120.154,126.336,126.003,117.885,119.991,114.098,117.363,111.995,126.523,120.749,131.386,115.398,119.356,118.256,139.989,115.576,113.609,111.758,119.187,122.434,113.480,114.029,115.486,126.262,127.342,138.613,128.079,126.229,136.343,146.238,135.702,126.712,119.610,119.634,115.983,143.879,123.605,117.585,113.832,134.290,118.269,120.669,131.216,136.842,119.533,141.933,124.222,124.022,128.658,120.116,118.095,121.804,160.309,118.103,122.681,137.006,111.160,131.273,118.789,116.825,127.938,122.958,116.780,122.422,119.520,121.665,116.980,129.015,137.740,122.551,122.590,126.632,122.725,124.353,116.614,117.665,121.928,115.499,122.222,122.036,121.618,122.371,116.776,119.944,115.383,130.837
72.0000,123.407,119.961,116.128,135.553,119.982,124.185,130.712,116.932,151.175,133.836,125.557,129.813,131.852,120.968,121.119,129.416,116.763,124.691,144.186,125.998,160.308,121.907,124.377,130.186,119.969,129.048,151.660,115.206,136.853,110.701,127.739,113.596,114.563,122.059,132.679,113.619,134.548,125.137,130.866,154.654,141.765,116.767,126.837,124.104,146.518,135.845,119.712,126.451,135.378,115.195,127.415,117.694,114.373,118.091,121.096,114.838,124.294,129.782,129.785,114.531,116.407,141.710,128.566,127.692,118.856,117.698,141.745,138.837,149.508,113.531,119.861,116.601,128.984,147.278,141.598,117.528,127.378,123.913,114.755,118.324,121.014,128.981,170.234,114.986,116.493,128.336,115.478,128.428,119.775,118.445,124.616,113.354,131.488,142.092,116.371,134.498,126.048,115.594,144.017,136.071,123.282,114.883,122.521,121.698,114.533,119.103,118.277,122.658,119.808,115.315,130.585,126.419,119.336,125.699,120.115,126.297,125.974,117.849,119.951,114.063,117.326,111.958,126.486,120.711,131.344,115.364,119.321,118.219,139.961,115.540,113.574,111.726,119.151,122.398,113.444,113.995,115.450,126.233,127.314,138.547,128.048,126.194,136.303,146.153,135.664,126.672,119.570,119.595,115.944,143.845,123.567,117.548,113.797,134.257,118.234,120.637,131.181,136.836,119.498,141.846,124.188,123.986,128.622,120.078,118.057,121.769,160.644,118.066,122.649,136.983,111.120,131.236,118.755,116.789,127.893,122.920,116.745,122.379,119.482,121.626,116.942,128.969,137.692,122.514,122.549,126.595,122.689,124.319,116.575,117.629,121.890,115.465,122.190,122.000,121.584,122.334,116.736,119.914,115.345,130.804
