Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
346.737,503.795E-6,3.38943E-9,1.34309E-9,1.01717E-9,986.672E-12
338.844,515.398E-6,3.46156E-9,1.35046E-9,1.00837E-9,976.074E-12
331.131,527.271E-6,3.53588E-9,1.35871E-9,999.819E-12,965.610E-12
323.594,539.421E-6,3.61243E-9,1.36786E-9,991.508E-12,955.278E-12
316.228,551.853E-6,3.69124E-9,1.37791E-9,983.445E-12,945.079E-12
309.030,564.576E-6,3.77236E-9,1.38889E-9,975.635E-12,935.011E-12
301.995,577.594E-6,3.85582E-9,1.40081E-9,968.085E-12,925.074E-12
295.121,590.916E-6,3.94168E-9,1.41369E-9,960.800E-12,915.268E-12
288.403,604.549E-6,4.02997E-9,1.42754E-9,953.787E-12,905.592E-12
281.838,618.500E-6,4.12075E-9,1.44238E-9,947.054E-12,896.045E-12
275.423,632.777E-6,4.21407E-9,1.45823E-9,940.607E-12,886.628E-12
269.153,647.387E-6,4.30997E-9,1.47509E-9,934.453E-12,877.341E-12
263.027,662.338E-6,4.40850E-9,1.49299E-9,928.602E-12,868.182E-12
257.040,677.638E-6,4.50973E-9,1.51193E-9,923.061E-12,859.152E-12
251.189,693.296E-6,4.61371E-9,1.53194E-9,917.838E-12,850.251E-12
245.471,709.320E-6,4.72050E-9,1.55303E-9,912.944E-12,841.479E-12
239.883,725.719E-6,4.83015E-9,1.57520E-9,908.386E-12,832.836E-12
234.423,742.502E-6,4.94273E-9,1.59849E-9,904.175E-12,824.323E-12
229.087,759.677E-6,5.05830E-9,1.62289E-9,900.321E-12,815.939E-12
223.872,777.255E-6,5.17693E-9,1.64843E-9,896.834E-12,807.685E-12
218.776,795.245E-6,5.29869E-9,1.67512E-9,893.724E-12,799.562E-12
213.796,813.656E-6,5.42365E-9,1.70297E-9,891.003E-12,791.569E-12
208.930,832.499E-6,5.55187E-9,1.73201E-9,888.681E-12,783.709E-12
204.174,851.784E-6,5.68344E-9,1.76224E-9,886.770E-12,775.981E-12
199.526,871.522E-6,5.81843E-9,1.79368E-9,885.282E-12,768.387E-12
194.984,891.724E-6,5.95692E-9,1.82635E-9,884.228E-12,760.927E-12
190.546,912.399E-6,6.09899E-9,1.86027E-9,883.620E-12,753.604E-12
186.209,933.561E-6,6.24472E-9,1.89545E-9,883.471E-12,746.417E-12
181.970,955.221E-6,6.39421E-9,1.93192E-9,883.793E-12,739.369E-12
177.828,977.390E-6,6.54754E-9,1.96968E-9,884.598E-12,732.461E-12
173.780,1.00008E-3,6.70481E-9,2.00877E-9,885.899E-12,725.695E-12
169.824,1.02331E-3,6.86610E-9,2.04920E-9,887.708E-12,719.073E-12
165.959,1.04708E-3,7.03152E-9,2.09098E-9,890.038E-12,712.597E-12
162.181,1.07141E-3,7.20117E-9,2.13416E-9,892.901E-12,706.269E-12
158.489,1.09632E-3,7.37514E-9,2.17873E-9,896.310E-12,700.092E-12
154.882,1.12182E-3,7.55355E-9,2.22474E-9,900.278E-12,694.067E-12
151.356,1.14792E-3,7.73650E-9,2.27220E-9,904.816E-12,688.199E-12
147.911,1.17463E-3,7.92411E-9,2.32115E-9,909.937E-12,682.489E-12
144.544,1.20198E-3,8.11649E-9,2.37160E-9,915.653E-12,676.941E-12
141.254,1.22997E-3,8.31376E-9,2.42358E-9,921.976E-12,671.559E-12
138.038,1.25863E-3,8.51604E-9,2.47713E-9,928.918E-12,666.345E-12
134.896,1.28796E-3,8.72346E-9,2.53227E-9,936.491E-12,661.305E-12
131.826,1.31800E-3,8.93615E-9,2.58904E-9,944.706E-12,656.441E-12
128.825,1.34874E-3,9.15424E-9,2.64746E-9,953.576E-12,651.758E-12
125.893,1.38021E-3,9.37786E-9,2.70757E-9,963.110E-12,647.260E-12
123.027,1.41244E-3,9.60716E-9,2.76940E-9,973.321E-12,642.952E-12
120.226,1.44543E-3,9.84229E-9,2.83300E-9,984.220E-12,638.840E-12
117.490,1.47920E-3,10.0834E-9,2.89839E-9,995.817E-12,634.927E-12
114.815,1.51378E-3,10.3306E-9,2.96562E-9,1.00812E-9,631.221E-12
112.202,1.54918E-3,10.5841E-9,3.03472E-9,1.02115E-9,627.725E-12
109.648,1.58543E-3,10.8440E-9,3.10574E-9,1.03491E-9,624.447E-12
107.152,1.62254E-3,11.1106E-9,3.17872E-9,1.04941E-9,621.392E-12
104.713,1.66054E-3,11.3839E-9,3.25371E-9,1.06467E-9,618.567E-12
102.329,1.69945E-3,11.6642E-9,3.33074E-9,1.08068E-9,615.979E-12
100.000,1.73930E-3,11.9517E-9,3.40987E-9,1.09748E-9,613.633E-12
97.7237,1.78009E-3,12.2464E-9,3.49115E-9,1.11506E-9,611.538E-12
95.4993,1.82187E-3,12.5487E-9,3.57463E-9,1.13344E-9,609.701E-12
93.3254,1.86465E-3,12.8587E-9,3.66036E-9,1.15263E-9,608.129E-12
91.2011,1.90846E-3,13.1766E-9,3.74839E-9,1.17264E-9,606.829E-12
89.1251,1.95332E-3,13.5027E-9,3.83879E-9,1.19349E-9,605.811E-12
87.0964,1.99927E-3,13.8371E-9,3.93160E-9,1.21518E-9,605.081E-12
85.1138,2.04633E-3,14.1801E-9,4.02690E-9,1.23774E-9,604.649E-12
83.1764,2.09452E-3,14.5320E-9,4.12475E-9,1.26117E-9,604.523E-12
81.2831,2.14389E-3,14.8929E-9,4.22522E-9,1.28549E-9,604.710E-12
79.4328,2.19447E-3,15.2632E-9,4.32837E-9,1.31072E-9,605.222E-12
77.6247,2.24629E-3,15.6431E-9,4.43431E-9,1.33688E-9,606.066E-12
75.8578,2.29940E-3,16.0331E-9,4.54312E-9,1.36399E-9,607.251E-12
74.1310,2.35386E-3,16.4335E-9,4.65493E-9,1.39208E-9,608.790E-12
72.4436,2.40973E-3,16.8450E-9,4.76990E-9,1.42118E-9,610.692E-12
70.7946,2.46714E-3,17.2685E-9,4.88828E-9,1.45137E-9,612.971E-12
69.1831,2.52624E-3,17.7051E-9,5.01041E-9,1.48273E-9,615.647E-12
67.6083,2.58733E-3,18.1571E-9,5.13692E-9,1.51542E-9,618.745E-12
66.0693,2.65089E-3,18.6282E-9,5.26882E-9,1.54971E-9,622.310E-12
64.5654,2.71887E-3,19.1270E-9,5.40855E-9,1.58625E-9,626.475E-12
63.0957,2.79132E-3,19.6655E-9,5.55948E-9,1.62593E-9,631.309E-12
61.6595,2.87119E-3,20.2604E-9,5.72627E-9,1.67002E-9,637.077E-12
60.2560,2.96115E-3,20.9320E-9,5.91466E-9,1.72007E-9,644.094E-12
58.8844,3.06221E-3,21.6881E-9,6.12686E-9,1.77677E-9,652.592E-12
57.5440,3.17110E-3,22.5048E-9,6.35613E-9,1.83834E-9,662.428E-12
56.2341,3.28349E-3,23.3496E-9,6.59341E-9,1.90237E-9,673.265E-12
54.9541,3.39927E-3,24.2220E-9,6.83850E-9,1.96879E-9,685.097E-12
53.7032,3.52162E-3,25.1460E-9,7.09819E-9,2.03945E-9,698.269E-12
52.4807,3.65309E-3,26.1414E-9,7.37803E-9,2.11586E-9,713.123E-12
51.2861,3.79380E-3,27.2096E-9,7.67839E-9,2.19816E-9,729.749E-12
50.1187,3.94177E-3,28.3358E-9,7.99517E-9,2.28521E-9,747.969E-12
48.9779,4.09445E-3,29.5009E-9,8.32295E-9,2.37554E-9,767.478E-12
47.8630,4.24986E-3,30.6898E-9,8.65749E-9,2.46795E-9,788.001E-12
46.7735,4.40687E-3,31.8940E-9,8.99637E-9,2.56176E-9,809.346E-12
45.7088,4.56498E-3,33.1094E-9,9.33850E-9,2.65664E-9,831.399E-12
44.6684,4.72404E-3,34.3351E-9,9.68354E-9,2.75248E-9,854.093E-12
43.6516,4.88406E-3,35.5710E-9,10.0315E-9,2.84927E-9,877.390E-12
42.6580,5.04514E-3,36.8179E-9,10.3826E-9,2.94705E-9,901.265E-12
41.6869,5.20736E-3,38.0763E-9,10.7370E-9,3.04585E-9,925.702E-12
40.7380,5.37080E-3,39.3470E-9,11.0948E-9,3.14572E-9,950.684E-12
39.8107,5.53552E-3,40.6303E-9,11.4562E-9,3.24667E-9,976.196E-12
38.9045,5.70153E-3,41.9265E-9,11.8213E-9,3.34871E-9,1.00222E-9
38.0189,5.86883E-3,43.2353E-9,12.1900E-9,3.45183E-9,1.02873E-9
37.1535,6.03735E-3,44.5565E-9,12.5621E-9,3.55599E-9,1.05571E-9
36.3078,6.20703E-3,45.8893E-9,12.9375E-9,3.66114E-9,1.08312E-9
35.4813,6.37772E-3,47.2327E-9,13.3160E-9,3.76717E-9,1.11093E-9
34.6737,6.54927E-3,48.5855E-9,13.6971E-9,3.87400E-9,1.13910E-9
33.8844,6.72148E-3,49.9461E-9,14.0804E-9,3.98149E-9,1.16758E-9
33.1131,6.89411E-3,51.3126E-9,14.4654E-9,4.08949E-9,1.19633E-9
32.3594,7.06690E-3,52.6827E-9,14.8514E-9,4.19782E-9,1.22528E-9
31.6228,7.23952E-3,54.0541E-9,15.2378E-9,4.30627E-9,1.25436E-9
30.9030,7.41165E-3,55.4239E-9,15.6237E-9,4.41464E-9,1.28352E-9
30.1995,7.58292E-3,56.7892E-9,16.0084E-9,4.52268E-9,1.31268E-9
29.5121,7.75294E-3,58.1468E-9,16.3910E-9,4.63014E-9,1.34177E-9
28.8403,7.92132E-3,59.4934E-9,16.7704E-9,4.73675E-9,1.37069E-9
28.1838,8.08765E-3,60.8257E-9,17.1458E-9,4.84224E-9,1.39938E-9
27.5423,8.25151E-3,62.1402E-9,17.5162E-9,4.94635E-9,1.42775E-9
26.9153,8.41252E-3,63.4336E-9,17.8807E-9,5.04881E-9,1.45572E-9
26.3027,8.57028E-3,64.7029E-9,18.2383E-9,5.14936E-9,1.48321E-9
25.7040,8.72447E-3,65.9449E-9,18.5883E-9,5.24777E-9,1.51016E-9
25.1189,8.87476E-3,67.1571E-9,18.9299E-9,5.34383E-9,1.53651E-9
24.5471,9.02089E-3,68.3371E-9,19.2624E-9,5.43735E-9,1.56219E-9
23.9883,9.16263E-3,69.4830E-9,19.5853E-9,5.52817E-9,1.58716E-9
23.4423,9.29982E-3,70.5932E-9,19.8982E-9,5.61619E-9,1.61139E-9
22.9087,9.43234E-3,71.6668E-9,20.2007E-9,5.70130E-9,1.63484E-9
22.3872,9.56013E-3,72.7031E-9,20.4927E-9,5.78345E-9,1.65749E-9
21.8776,9.68317E-3,73.7017E-9,20.7741E-9,5.86263E-9,1.67934E-9
21.3796,9.80150E-3,74.6629E-9,21.0450E-9,5.93884E-9,1.70039E-9
20.8930,9.91517E-3,75.5870E-9,21.3054E-9,6.01212E-9,1.72064E-9
20.4174,10.0243E-3,76.4748E-9,21.5556E-9,6.08253E-9,1.74012E-9
19.9526,10.1290E-3,77.3274E-9,21.7959E-9,6.15015E-9,1.75883E-9
19.4984,10.2295E-3,78.1460E-9,22.0266E-9,6.21507E-9,1.77680E-9
19.0546,10.3259E-3,78.9319E-9,22.2480E-9,6.27740E-9,1.79407E-9
18.6209,10.4185E-3,79.6866E-9,22.4607E-9,6.33727E-9,1.81066E-9
18.1970,10.5073E-3,80.4118E-9,22.6651E-9,6.39479E-9,1.82661E-9
17.7828,10.5927E-3,81.1090E-9,22.8615E-9,6.45009E-9,1.84195E-9
17.3780,10.6748E-3,81.7799E-9,23.0506E-9,6.50331E-9,1.85671E-9
16.9824,10.7539E-3,82.4262E-9,23.2327E-9,6.55458E-9,1.87094E-9
16.5959,10.8331E-3,83.0764E-9,23.4160E-9,6.60616E-9,1.88527E-9
16.2181,10.9065E-3,83.6754E-9,23.5848E-9,6.65368E-9,1.89847E-9
15.8489,10.9775E-3,84.2565E-9,23.7485E-9,6.69978E-9,1.91128E-9
15.4882,11.0438E-3,84.7980E-9,23.9012E-9,6.74274E-9,1.92322E-9
15.1356,11.1106E-3,85.3456E-9,24.0555E-9,6.78619E-9,1.93529E-9
14.7911,11.1756E-3,85.8779E-9,24.2055E-9,6.82842E-9,1.94704E-9
14.4544,11.2388E-3,86.3965E-9,24.3516E-9,6.86957E-9,1.95849E-9
14.1254,11.3005E-3,86.9028E-9,24.4943E-9,6.90974E-9,1.96966E-9
13.8038,11.3609E-3,87.3980E-9,24.6339E-9,6.94903E-9,1.98059E-9
13.4896,11.4200E-3,87.8833E-9,24.7706E-9,6.98754E-9,1.99132E-9
13.1826,11.4780E-3,88.3602E-9,24.9050E-9,7.02538E-9,2.00185E-9
12.8825,11.5351E-3,88.8296E-9,25.0373E-9,7.06263E-9,2.01222E-9
12.5893,11.5915E-3,89.2929E-9,25.1679E-9,7.09939E-9,2.02246E-9
12.3027,11.6471E-3,89.7510E-9,25.2970E-9,7.13574E-9,2.03259E-9
12.0226,11.7023E-3,90.2050E-9,25.4249E-9,7.17177E-9,2.04263E-9
11.7490,11.7571E-3,90.6561E-9,25.5521E-9,7.20757E-9,2.05260E-9
11.4815,11.8116E-3,91.1052E-9,25.6786E-9,7.24321E-9,2.06254E-9
11.2202,11.8659E-3,91.5533E-9,25.8049E-9,7.27877E-9,2.07245E-9
10.9648,11.9202E-3,92.0014E-9,25.9312E-9,7.31433E-9,2.08236E-9
10.7152,11.9746E-3,92.4505E-9,26.0577E-9,7.34996E-9,2.09230E-9
10.4713,12.0292E-3,92.9013E-9,26.1848E-9,7.38574E-9,2.10228E-9
10.2329,12.0840E-3,93.3548E-9,26.3126E-9,7.42174E-9,2.11232E-9
10.0000,12.1393E-3,93.8116E-9,26.4413E-9,7.45799E-9,2.12244E-9
9.77237,12.1946E-3,94.2695E-9,26.5704E-9,7.49433E-9,2.13257E-9
9.54993,12.2474E-3,94.7068E-9,26.6936E-9,7.52903E-9,2.14226E-9
9.33254,12.2907E-3,95.0650E-9,26.7946E-9,7.55747E-9,2.15020E-9
9.12011,12.3236E-3,95.3362E-9,26.8710E-9,7.57899E-9,2.15621E-9
8.91251,12.3499E-3,95.5532E-9,26.9322E-9,7.59622E-9,2.16103E-9
8.70964,12.3719E-3,95.7337E-9,26.9830E-9,7.61054E-9,2.16504E-9
8.51138,12.3901E-3,95.8834E-9,27.0252E-9,7.62243E-9,2.16837E-9
8.31764,12.4050E-3,96.0053E-9,27.0596E-9,7.63211E-9,2.17108E-9
8.12831,12.4169E-3,96.1023E-9,27.0869E-9,7.63981E-9,2.17325E-9
7.94328,12.4263E-3,96.1780E-9,27.1082E-9,7.64582E-9,2.17494E-9
7.76247,12.4335E-3,96.2358E-9,27.1245E-9,7.65041E-9,2.17624E-9
7.58578,12.4388E-3,96.2785E-9,27.1366E-9,7.65381E-9,2.17720E-9
7.41310,12.4427E-3,96.3084E-9,27.1450E-9,7.65619E-9,2.17788E-9
7.24436,12.4452E-3,96.3272E-9,27.1503E-9,7.65769E-9,2.17832E-9
7.07946,12.4465E-3,96.3365E-9,27.1529E-9,7.65843E-9,2.17854E-9
6.91831,12.4469E-3,96.3373E-9,27.1531E-9,7.65850E-9,2.17858E-9
6.76083,12.4463E-3,96.3305E-9,27.1512E-9,7.65797E-9,2.17846E-9
6.60693,12.4449E-3,96.3170E-9,27.1474E-9,7.65690E-9,2.17818E-9
6.45654,12.4428E-3,96.2974E-9,27.1419E-9,7.65535E-9,2.17777E-9
6.30957,12.4400E-3,96.2723E-9,27.1348E-9,7.65337E-9,2.17724E-9
6.16595,12.4366E-3,96.2421E-9,27.1263E-9,7.65097E-9,2.17659E-9
6.02560,12.4326E-3,96.2072E-9,27.1165E-9,7.64821E-9,2.17585E-9
5.88844,12.4281E-3,96.1679E-9,27.1054E-9,7.64511E-9,2.17501E-9
5.75440,12.4231E-3,96.1247E-9,27.0932E-9,7.64168E-9,2.17408E-9
5.62341,12.4177E-3,96.0777E-9,27.0800E-9,7.63796E-9,2.17306E-9
5.49541,12.4118E-3,96.0271E-9,27.0657E-9,7.63395E-9,2.17197E-9
5.37032,12.4055E-3,95.9732E-9,27.0506E-9,7.62968E-9,2.17081E-9
5.24807,12.3988E-3,95.9162E-9,27.0345E-9,7.62516E-9,2.16958E-9
5.12861,12.3918E-3,95.8561E-9,27.0176E-9,7.62041E-9,2.16828E-9
5.01187,12.3844E-3,95.7932E-9,26.9998E-9,7.61543E-9,2.16692E-9
4.89779,12.3767E-3,95.7276E-9,26.9813E-9,7.61023E-9,2.16550E-9
4.78630,12.3687E-3,95.6593E-9,26.9621E-9,7.60482E-9,2.16403E-9
4.67735,12.3604E-3,95.5886E-9,26.9422E-9,7.59922E-9,2.16250E-9
4.57088,12.3517E-3,95.5154E-9,26.9216E-9,7.59342E-9,2.16092E-9
4.46684,12.3430E-3,95.4409E-9,26.9006E-9,7.58752E-9,2.15931E-9
4.36516,12.3338E-3,95.3630E-9,26.8786E-9,7.58135E-9,2.15762E-9
4.26580,12.3243E-3,95.2830E-9,26.8561E-9,7.57501E-9,2.15589E-9
4.16869,12.3146E-3,95.2009E-9,26.8329E-9,7.56850E-9,2.15412E-9
4.07380,12.3046E-3,95.1166E-9,26.8092E-9,7.56183E-9,2.15229E-9
3.98107,12.2944E-3,95.0304E-9,26.7849E-9,7.55500E-9,2.15043E-9
3.89045,12.2839E-3,94.9421E-9,26.7600E-9,7.54801E-9,2.14852E-9
3.80189,12.2732E-3,94.8520E-9,26.7346E-9,7.54087E-9,2.14657E-9
3.71535,12.2623E-3,94.7599E-9,26.7087E-9,7.53357E-9,2.14459E-9
3.63078,12.2512E-3,94.6660E-9,26.6822E-9,7.52613E-9,2.14256E-9
3.54813,12.2398E-3,94.5702E-9,26.6552E-9,7.51855E-9,2.14049E-9
3.46737,12.2282E-3,94.4727E-9,26.6277E-9,7.51082E-9,2.13838E-9
3.38844,12.2164E-3,94.3734E-9,26.5998E-9,7.50296E-9,2.13624E-9
3.31131,12.2044E-3,94.2725E-9,26.5713E-9,7.49497E-9,2.13407E-9
3.23594,12.1922E-3,94.1702E-9,26.5425E-9,7.48687E-9,2.13186E-9
3.16228,12.1799E-3,94.0670E-9,26.5134E-9,7.47869E-9,2.12964E-9
3.09030,12.1676E-3,93.9641E-9,26.4844E-9,7.47055E-9,2.12742E-9
3.01995,12.1560E-3,93.8665E-9,26.4569E-9,7.46282E-9,2.12533E-9
2.95121,12.1450E-3,93.7744E-9,26.4310E-9,7.45552E-9,2.12335E-9
2.88403,12.1350E-3,93.6899E-9,26.4072E-9,7.44884E-9,2.12155E-9
2.81838,12.1257E-3,93.6122E-9,26.3853E-9,7.44269E-9,2.11989E-9
2.75423,12.1171E-3,93.5395E-9,26.3648E-9,7.43694E-9,2.11835E-9
2.69153,12.1088E-3,93.4702E-9,26.3453E-9,7.43146E-9,2.11689E-9
2.63027,12.1007E-3,93.4019E-9,26.3260E-9,7.42606E-9,2.11545E-9
2.57040,12.0929E-3,93.3368E-9,26.3077E-9,7.42091E-9,2.11408E-9
2.51189,12.0852E-3,93.2721E-9,26.2895E-9,7.41580E-9,2.11273E-9
2.45471,12.0776E-3,93.2078E-9,26.2714E-9,7.41072E-9,2.11138E-9
2.39883,12.0700E-3,93.1437E-9,26.2533E-9,7.40566E-9,2.11004E-9
2.34423,12.0623E-3,93.0795E-9,26.2352E-9,7.40058E-9,2.10870E-9
2.29087,12.0547E-3,93.0150E-9,26.2170E-9,7.39549E-9,2.10736E-9
2.23872,12.0469E-3,92.9502E-9,26.1988E-9,7.39038E-9,2.10601E-9
2.18776,12.0392E-3,92.8850E-9,26.1804E-9,7.38522E-9,2.10465E-9
2.13796,12.0313E-3,92.8192E-9,26.1619E-9,7.38002E-9,2.10329E-9
2.08930,12.0234E-3,92.7527E-9,26.1431E-9,7.37478E-9,2.10191E-9
2.04174,12.0154E-3,92.6856E-9,26.1242E-9,7.36948E-9,2.10052E-9
1.99526,12.0073E-3,92.6178E-9,26.1051E-9,7.36413E-9,2.09912E-9
1.94984,11.9991E-3,92.5493E-9,26.0858E-9,7.35871E-9,2.09770E-9
1.90546,11.9908E-3,92.4799E-9,26.0663E-9,7.35324E-9,2.09627E-9
1.86209,11.9824E-3,92.4097E-9,26.0465E-9,7.34770E-9,2.09482E-9
1.81970,11.9739E-3,92.3386E-9,26.0265E-9,7.34209E-9,2.09336E-9
1.77828,11.9653E-3,92.2667E-9,26.0062E-9,7.33641E-9,2.09187E-9
1.73780,11.9566E-3,92.1938E-9,25.9857E-9,7.33066E-9,2.09038E-9
1.69824,11.9478E-3,92.1200E-9,25.9649E-9,7.32483E-9,2.08886E-9
1.65959,11.9388E-3,92.0452E-9,25.9438E-9,7.31893E-9,2.08733E-9
1.62181,11.9298E-3,91.9694E-9,25.9225E-9,7.31295E-9,2.08577E-9
1.58489,11.9206E-3,91.8926E-9,25.9008E-9,7.30690E-9,2.08420E-9
1.54882,11.9113E-3,91.8148E-9,25.8789E-9,7.30076E-9,2.08261E-9
1.51356,11.9018E-3,91.7360E-9,25.8567E-9,7.29454E-9,2.08100E-9
1.47911,11.8922E-3,91.6560E-9,25.8342E-9,7.28824E-9,2.07937E-9
1.44544,11.8825E-3,91.5750E-9,25.8114E-9,7.28185E-9,2.07772E-9
1.41254,11.8727E-3,91.4929E-9,25.7883E-9,7.27537E-9,2.07605E-9
1.38038,11.8627E-3,91.4097E-9,25.7648E-9,7.26881E-9,2.07436E-9
1.34896,11.8526E-3,91.3254E-9,25.7411E-9,7.26216E-9,2.07264E-9
1.31826,11.8423E-3,91.2399E-9,25.7170E-9,7.25542E-9,2.07091E-9
1.28825,11.8319E-3,91.1533E-9,25.6926E-9,7.24859E-9,2.06916E-9
1.25893,11.8214E-3,91.0654E-9,25.6678E-9,7.24167E-9,2.06738E-9
1.23027,11.8107E-3,90.9764E-9,25.6428E-9,7.23466E-9,2.06558E-9
1.20226,11.7999E-3,90.8862E-9,25.6174E-9,7.22755E-9,2.06376E-9
1.17490,11.7889E-3,90.7948E-9,25.5916E-9,7.22034E-9,2.06192E-9
1.14815,11.7778E-3,90.7021E-9,25.5655E-9,7.21304E-9,2.06006E-9
1.12202,11.7665E-3,90.6082E-9,25.5391E-9,7.20565E-9,2.05817E-9
1.09648,11.7550E-3,90.5131E-9,25.5123E-9,7.19815E-9,2.05626E-9
1.07152,11.7434E-3,90.4166E-9,25.4851E-9,7.19056E-9,2.05433E-9
1.04713,11.7317E-3,90.3189E-9,25.4576E-9,7.18286E-9,2.05238E-9
1.02329,11.7198E-3,90.2199E-9,25.4297E-9,7.17506E-9,2.05040E-9
1.00000,11.7077E-3,90.1196E-9,25.4014E-9,7.16716E-9,2.04840E-9
