time (s),/VCC (V),/vin1+ (V),/vout1+ (V)
643.398E-9,-1.65000,-815.331E-3,-905.266E-3
651.201E-9,-1.65000,-815.332E-3,-905.266E-3
660.796E-9,-1.65000,-815.333E-3,-905.266E-3
672.619E-9,-1.65000,-815.333E-3,-905.266E-3
687.220E-9,-1.65000,-815.334E-3,-905.266E-3
705.299E-9,-1.65000,-815.334E-3,-905.266E-3
725.299E-9,-1.65000,-815.334E-3,-905.266E-3
745.299E-9,-1.65000,-815.334E-3,-905.266E-3
765.299E-9,-1.65000,-815.334E-3,-905.266E-3
785.299E-9,-1.65000,-815.335E-3,-905.266E-3
805.299E-9,-1.65000,-815.335E-3,-905.266E-3
825.299E-9,-1.65000,-815.335E-3,-905.266E-3
845.299E-9,-1.65000,-815.335E-3,-905.266E-3
865.299E-9,-1.65000,-815.334E-3,-905.266E-3
885.299E-9,-1.65000,-815.334E-3,-905.266E-3
905.299E-9,-1.65000,-815.334E-3,-905.266E-3
925.299E-9,-1.65000,-815.334E-3,-905.266E-3
945.299E-9,-1.65000,-815.334E-3,-905.266E-3
965.299E-9,-1.65000,-815.334E-3,-905.266E-3
985.299E-9,-1.65000,-815.334E-3,-905.266E-3
1.00530E-6,-1.65000,-815.334E-3,-905.266E-3
1.02530E-6,-1.65000,-815.334E-3,-905.266E-3
1.04530E-6,-1.65000,-815.334E-3,-905.266E-3
1.06530E-6,-1.65000,-815.334E-3,-905.266E-3
1.08530E-6,-1.65000,-815.334E-3,-905.266E-3
1.10000E-6,-1.65000,-815.334E-3,-905.266E-3
1.10002E-6,-1.63711,-808.881E-3,-900.628E-3
1.10004E-6,-1.62651,-803.398E-3,-897.088E-3
1.10004E-6,-1.62321,-801.671E-3,-896.030E-3
1.10005E-6,-1.61947,-799.716E-3,-894.850E-3
1.10005E-6,-1.61576,-797.774E-3,-893.692E-3
1.10006E-6,-1.61135,-795.463E-3,-892.330E-3
1.10007E-6,-1.60485,-792.066E-3,-890.359E-3
1.10008E-6,-1.59558,-787.216E-3,-887.606E-3
1.10010E-6,-1.58491,-781.641E-3,-884.515E-3
1.10012E-6,-1.57223,-775.019E-3,-880.918E-3
1.10014E-6,-1.55691,-767.014E-3,-876.630E-3
1.10017E-6,-1.53788,-757.068E-3,-871.315E-3
1.10020E-6,-1.51505,-745.139E-3,-864.841E-3
1.10024E-6,-1.48936,-731.735E-3,-857.291E-3
1.10025E-6,-1.48200,-727.902E-3,-855.066E-3
1.10028E-6,-1.46729,-720.250E-3,-850.504E-3
1.10029E-6,-1.45993,-716.433E-3,-848.162E-3
1.10031E-6,-1.44522,-708.823E-3,-843.338E-3
1.10032E-6,-1.43786,-705.032E-3,-840.853E-3
1.10034E-6,-1.42315,-697.482E-3,-835.725E-3
1.10035E-6,-1.41579,-693.726E-3,-833.080E-3
1.10038E-6,-1.40108,-686.257E-3,-827.615E-3
1.10039E-6,-1.39372,-682.546E-3,-824.795E-3
1.10041E-6,-1.37901,-675.175E-3,-818.971E-3
1.10046E-6,-1.34959,-660.668E-3,-806.593E-3
1.10047E-6,-1.34182,-656.892E-3,-803.165E-3
1.10049E-6,-1.32628,-649.415E-3,-796.124E-3
1.10053E-6,-1.29752,-635.847E-3,-782.544E-3
1.10058E-6,-1.26805,-622.332E-3,-768.139E-3
1.10059E-6,-1.26051,-618.935E-3,-764.392E-3
1.10061E-6,-1.24542,-612.220E-3,-756.893E-3
1.10066E-6,-1.21552,-599.229E-3,-742.249E-3
1.10071E-6,-1.18152,-584.955E-3,-726.272E-3
1.10072E-6,-1.17231,-581.178E-3,-722.087E-3
1.10075E-6,-1.15389,-573.731E-3,-713.940E-3
1.10079E-6,-1.12575,-562.609E-3,-702.090E-3
1.10081E-6,-1.11575,-558.726E-3,-698.049E-3
1.10084E-6,-1.09573,-551.067E-3,-690.227E-3
1.10089E-6,-1.06022,-537.786E-3,-677.118E-3
1.10096E-6,-1.01637,-521.841E-3,-662.054E-3
1.10098E-6,-1.00471,-517.681E-3,-658.240E-3
1.10101E-6,-981.406E-3,-509.444E-3,-650.811E-3
1.10107E-6,-944.599E-3,-496.639E-3,-639.546E-3
1.10112E-6,-908.807E-3,-484.406E-3,-629.072E-3
1.10114E-6,-898.358E-3,-480.874E-3,-626.098E-3
1.10117E-6,-877.460E-3,-473.859E-3,-620.249E-3
1.10121E-6,-851.261E-3,-465.152E-3,-613.088E-3
1.10122E-6,-843.851E-3,-462.707E-3,-611.096E-3
1.10124E-6,-829.033E-3,-457.841E-3,-607.153E-3
1.10129E-6,-799.397E-3,-448.194E-3,-599.419E-3
1.10135E-6,-757.829E-3,-434.850E-3,-588.877E-3
1.10137E-6,-746.930E-3,-431.387E-3,-586.170E-3
1.10140E-6,-725.132E-3,-424.501E-3,-580.816E-3
1.10146E-6,-686.670E-3,-412.475E-3,-571.552E-3
1.10154E-6,-633.587E-3,-396.114E-3,-559.093E-3
1.10156E-6,-620.517E-3,-392.124E-3,-556.078E-3
1.10160E-6,-596.080E-3,-384.702E-3,-550.489E-3
1.10166E-6,-555.218E-3,-372.393E-3,-541.256E-3
1.10174E-6,-504.077E-3,-357.148E-3,-529.857E-3
1.10179E-6,-469.236E-3,-346.853E-3,-522.168E-3
1.10184E-6,-432.852E-3,-336.176E-3,-514.185E-3
1.10189E-6,-403.192E-3,-327.522E-3,-507.703E-3
1.10195E-6,-365.532E-3,-316.594E-3,-499.489E-3
1.10202E-6,-318.355E-3,-302.988E-3,-489.205E-3
1.10209E-6,-271.684E-3,-289.608E-3,-479.016E-3
1.10213E-6,-246.282E-3,-282.356E-3,-473.457E-3
1.10216E-6,-221.356E-3,-275.257E-3,-467.987E-3
1.10220E-6,-195.627E-3,-267.946E-3,-462.323E-3
1.10225E-6,-163.280E-3,-258.776E-3,-455.170E-3
1.10233E-6,-113.658E-3,-244.750E-3,-444.116E-3
1.10244E-6,-38.6638E-3,-223.629E-3,-427.195E-3
1.10259E-6,56.9539E-3,-196.793E-3,-405.181E-3
1.10278E-6,186.684E-3,-160.471E-3,-374.405E-3
1.10301E-6,339.117E-3,-117.812E-3,-336.777E-3
1.10325E-6,497.213E-3,-73.5382E-3,-296.087E-3
1.10351E-6,666.787E-3,-25.9801E-3,-250.588E-3
1.10379E-6,850.995E-3,25.8041E-3,-199.008E-3
1.10396E-6,963.662E-3,57.5687E-3,-166.344E-3
1.10408E-6,1.04359,80.1736E-3,-142.634E-3
1.10422E-6,1.13283,105.539E-3,-115.578E-3
1.10432E-6,1.19919,124.529E-3,-95.0170E-3
1.10441E-6,1.25738,141.294E-3,-76.6557E-3
1.10450E-6,1.31672,158.515E-3,-57.5947E-3
1.10460E-6,1.38333,177.994E-3,-35.7932E-3
1.10474E-6,1.47701,205.623E-3,-4.42794E-3
1.10485E-6,1.55409,228.476E-3,21.9619E-3
1.10493E-6,1.60205,242.485E-3,38.4869E-3
1.10496E-6,1.62602,249.191E-3,46.6178E-3
1.10500E-6,1.65000,255.220E-3,54.3351E-3
1.10500E-6,1.65000,255.054E-3,54.2456E-3
1.10501E-6,1.65000,254.889E-3,54.1638E-3
1.10501E-6,1.65000,254.745E-3,54.0953E-3
1.10501E-6,1.65000,254.639E-3,54.0453E-3
1.10501E-6,1.65000,254.525E-3,53.9913E-3
1.10501E-6,1.65000,254.354E-3,53.9103E-3
1.10502E-6,1.65000,253.999E-3,53.7423E-3
1.10503E-6,1.65000,253.557E-3,53.5334E-3
1.10504E-6,1.65000,252.678E-3,53.1196E-3
1.10506E-6,1.65000,250.672E-3,52.1865E-3
1.10509E-6,1.65000,247.414E-3,50.7113E-3
1.10512E-6,1.65000,243.684E-3,49.0869E-3
1.10516E-6,1.65000,239.360E-3,47.2964E-3
1.10520E-6,1.65000,233.795E-3,45.1479E-3
1.10525E-6,1.65000,227.556E-3,42.9567E-3
1.10530E-6,1.65000,220.850E-3,40.8683E-3
1.10536E-6,1.65000,213.843E-3,38.9897E-3
1.10542E-6,1.65000,206.204E-3,37.3016E-3
1.10550E-6,1.65000,197.541E-3,35.8435E-3
1.10560E-6,1.65000,187.049E-3,34.7237E-3
1.10574E-6,1.65000,173.243E-3,34.3100E-3
1.10594E-6,1.65000,155.944E-3,35.4580E-3
1.10615E-6,1.65000,139.104E-3,38.3652E-3
1.10639E-6,1.65000,122.781E-3,42.8731E-3
1.10665E-6,1.65000,106.787E-3,48.8518E-3
1.10695E-6,1.65000,90.8997E-3,56.1001E-3
1.10727E-6,1.65000,75.0470E-3,64.1149E-3
1.10750E-6,1.65000,64.7961E-3,69.6078E-3
1.10774E-6,1.65000,56.3199E-3,74.7213E-3
1.10793E-6,1.65000,51.5070E-3,78.6104E-3
1.10812E-6,1.65000,49.2737E-3,81.9900E-3
1.10835E-6,1.65000,49.4853E-3,85.3561E-3
1.10852E-6,1.65000,51.0663E-3,87.2254E-3
1.10865E-6,1.65000,52.9211E-3,88.3715E-3
1.10878E-6,1.65000,54.8519E-3,89.0871E-3
1.10894E-6,1.65000,57.4606E-3,89.5304E-3
1.10906E-6,1.65000,59.3825E-3,89.5207E-3
1.10915E-6,1.65000,60.9015E-3,89.3200E-3
1.10925E-6,1.65000,62.5239E-3,88.9193E-3
1.10941E-6,1.65000,64.9528E-3,87.9634E-3
1.10956E-6,1.65000,67.2649E-3,86.6597E-3
1.10970E-6,1.65000,69.3469E-3,85.1625E-3
1.10985E-6,1.65000,71.5667E-3,83.2433E-3
1.11003E-6,1.65000,74.0749E-3,80.7033E-3
1.11025E-6,1.65000,77.1540E-3,77.1133E-3
1.11051E-6,1.65000,80.4542E-3,72.7995E-3
1.11076E-6,1.65000,83.6857E-3,68.2492E-3
1.11103E-6,1.65000,86.8766E-3,63.6015E-3
1.11132E-6,1.65000,90.3077E-3,58.6384E-3
1.11168E-6,1.65000,94.3141E-3,53.2097E-3
1.11217E-6,1.65000,99.5088E-3,47.7082E-3
1.11278E-6,1.65000,106.055E-3,48.3002E-3
1.11321E-6,1.65000,111.242E-3,60.0106E-3
1.11352E-6,1.65000,115.512E-3,77.3237E-3
1.11383E-6,1.65000,120.031E-3,101.603E-3
1.11420E-6,1.65000,125.476E-3,136.863E-3
1.11449E-6,1.65000,129.517E-3,166.456E-3
1.11476E-6,1.65000,133.061E-3,194.438E-3
1.11507E-6,1.65000,136.745E-3,225.272E-3
1.11537E-6,1.65000,139.898E-3,253.084E-3
1.11568E-6,1.65000,142.946E-3,281.312E-3
1.11609E-6,1.65000,146.580E-3,316.999E-3
1.11679E-6,1.65000,151.730E-3,372.664E-3
1.11769E-6,1.65000,156.791E-3,436.907E-3
1.11868E-6,1.65000,160.649E-3,499.527E-3
1.11979E-6,1.65000,163.184E-3,560.968E-3
1.12101E-6,1.65000,164.172E-3,619.563E-3
1.12234E-6,1.65000,163.508E-3,673.533E-3
1.12374E-6,1.65000,161.238E-3,721.931E-3
1.12522E-6,1.65000,157.523E-3,764.286E-3
1.12677E-6,1.65000,152.539E-3,800.998E-3
1.12841E-6,1.65000,146.438E-3,832.665E-3
1.13015E-6,1.65000,139.348E-3,859.843E-3
1.13200E-6,1.65000,131.386E-3,883.011E-3
1.13400E-6,1.65000,122.670E-3,902.574E-3
1.13615E-6,1.65000,113.320E-3,918.899E-3
1.13818E-6,1.65000,104.739E-3,930.725E-3
1.14032E-6,1.65000,96.0913E-3,940.313E-3
1.14267E-6,1.65000,87.1147E-3,948.328E-3
1.14524E-6,1.65000,77.9818E-3,954.854E-3
1.14811E-6,1.65000,68.7200E-3,960.105E-3
1.15136E-6,1.65000,59.3570E-3,964.263E-3
1.15495E-6,1.65000,50.3580E-3,967.352E-3
1.15872E-6,1.65000,42.2379E-3,969.497E-3
1.16269E-6,1.65000,35.0078E-3,970.974E-3
1.16693E-6,1.65000,28.6071E-3,972.000E-3
1.17147E-6,1.65000,22.9986E-3,972.718E-3
1.17639E-6,1.65000,18.1304E-3,973.230E-3
1.18177E-6,1.65000,13.9506E-3,973.605E-3
1.18773E-6,1.65000,10.4152E-3,973.884E-3
1.19442E-6,1.65000,7.48364E-3,974.098E-3
1.20203E-6,1.65000,5.11558E-3,974.262E-3
1.21084E-6,1.65000,3.26930E-3,974.386E-3
1.22127E-6,1.65000,1.89889E-3,974.478E-3
1.23394E-6,1.65000,951.713E-6,974.542E-3
1.24987E-6,1.65000,365.862E-6,974.582E-3
1.26987E-6,1.65000,79.0889E-6,974.602E-3
1.28987E-6,1.65000,5.93864E-6,974.607E-3
1.30987E-6,1.65000,4.99038E-6,974.607E-3
1.32987E-6,1.65000,19.3411E-6,974.606E-3
1.34987E-6,1.65000,31.4545E-6,974.605E-3
1.36987E-6,1.65000,38.6356E-6,974.604E-3
1.38987E-6,1.65000,42.2583E-6,974.604E-3
1.40987E-6,1.65000,43.9890E-6,974.604E-3
1.42987E-6,1.65000,44.9039E-6,974.604E-3
1.44987E-6,1.65000,45.5399E-6,974.604E-3
1.46987E-6,1.65000,46.1150E-6,974.604E-3
1.48987E-6,1.65000,46.6972E-6,974.604E-3
1.50987E-6,1.65000,47.2976E-6,974.604E-3
1.52987E-6,1.65000,47.9114E-6,974.604E-3
1.54987E-6,1.65000,48.5323E-6,974.604E-3
1.56987E-6,1.65000,49.1563E-6,974.604E-3
1.58987E-6,1.65000,49.7814E-6,974.604E-3
1.60500E-6,1.65000,50.2544E-6,974.604E-3
1.60500E-6,1.64678,-984.208E-6,973.388E-3
1.60501E-6,1.64206,-2.47574E-3,971.653E-3
1.60501E-6,1.64070,-2.89806E-3,971.165E-3
1.60502E-6,1.63930,-3.33047E-3,970.666E-3
1.60502E-6,1.63746,-3.89077E-3,970.021E-3
1.60502E-6,1.63417,-4.87140E-3,968.896E-3
1.60503E-6,1.63069,-5.88410E-3,967.738E-3
1.60504E-6,1.62450,-7.63316E-3,965.746E-3
1.60506E-6,1.61211,-10.9593E-3,961.991E-3
1.60508E-6,1.59675,-14.8350E-3,957.677E-3
1.60511E-6,1.58013,-18.7986E-3,953.350E-3
1.60513E-6,1.56149,-23.0412E-3,948.827E-3
1.60517E-6,1.53972,-27.8166E-3,943.887E-3
1.60521E-6,1.51168,-33.7987E-3,937.921E-3
1.60527E-6,1.47478,-41.5493E-3,930.519E-3
1.60533E-6,1.43436,-50.0356E-3,922.746E-3
1.60539E-6,1.39578,-58.2304E-3,915.468E-3
1.60545E-6,1.35518,-67.0249E-3,907.802E-3
1.60552E-6,1.30886,-77.3188E-3,898.910E-3
1.60561E-6,1.25068,-90.6511E-3,887.393E-3
1.60571E-6,1.18276,-106.720E-3,873.381E-3
1.60581E-6,1.11231,-123.857E-3,858.184E-3
1.60593E-6,1.03459,-143.188E-3,840.639E-3
1.60605E-6,953.710E-3,-163.699E-3,821.435E-3
1.60619E-6,866.123E-3,-186.447E-3,798.929E-3
1.60629E-6,799.284E-3,-204.521E-3,778.783E-3
1.60636E-6,752.908E-3,-217.768E-3,761.032E-3
1.60643E-6,703.920E-3,-233.052E-3,734.514E-3
1.60649E-6,666.018E-3,-246.167E-3,705.780E-3
1.60654E-6,630.844E-3,-259.427E-3,671.785E-3
1.60661E-6,587.928E-3,-276.694E-3,622.589E-3
1.60667E-6,546.787E-3,-293.771E-3,571.670E-3
1.60672E-6,516.007E-3,-306.559E-3,533.777E-3
1.60676E-6,486.583E-3,-318.642E-3,499.132E-3
1.60681E-6,452.900E-3,-332.312E-3,461.622E-3
1.60688E-6,408.194E-3,-350.382E-3,414.183E-3
1.60695E-6,361.569E-3,-369.283E-3,366.101E-3
1.60702E-6,313.720E-3,-388.738E-3,317.381E-3
1.60712E-6,252.742E-3,-413.476E-3,255.712E-3
1.60722E-6,185.413E-3,-440.524E-3,187.930E-3
1.60731E-6,124.671E-3,-464.574E-3,126.946E-3
1.60741E-6,62.4063E-3,-488.833E-3,64.5307E-3
1.60752E-6,-14.4344E-3,-518.247E-3,-12.4172E-3
1.60765E-6,-97.8244E-3,-549.615E-3,-95.8626E-3
1.60774E-6,-161.425E-3,-573.227E-3,-159.475E-3
1.60784E-6,-222.292E-3,-595.641E-3,-220.335E-3
1.60793E-6,-285.672E-3,-618.862E-3,-283.690E-3
1.60802E-6,-340.135E-3,-638.762E-3,-338.109E-3
1.60809E-6,-388.397E-3,-656.348E-3,-386.293E-3
1.60816E-6,-433.689E-3,-672.735E-3,-431.472E-3
1.60823E-6,-478.705E-3,-688.699E-3,-476.351E-3
1.60827E-6,-511.272E-3,-699.855E-3,-508.781E-3
1.60831E-6,-536.017E-3,-707.975E-3,-533.372E-3
1.60835E-6,-558.494E-3,-714.972E-3,-555.647E-3
1.60838E-6,-581.019E-3,-721.521E-3,-577.888E-3
1.60841E-6,-603.826E-3,-727.591E-3,-600.324E-3
1.60844E-6,-621.338E-3,-731.829E-3,-617.501E-3
1.60846E-6,-636.678E-3,-735.220E-3,-632.522E-3
1.60849E-6,-652.301E-3,-738.355E-3,-647.802E-3
1.60851E-6,-667.560E-3,-741.104E-3,-662.709E-3
1.60853E-6,-682.619E-3,-743.521E-3,-677.405E-3
1.60856E-6,-701.136E-3,-746.106E-3,-695.442E-3
1.60859E-6,-721.677E-3,-748.510E-3,-715.379E-3
1.60863E-6,-743.225E-3,-750.559E-3,-736.142E-3
1.60866E-6,-766.603E-3,-752.301E-3,-758.328E-3
1.60870E-6,-791.309E-3,-753.663E-3,-781.043E-3
1.60874E-6,-815.485E-3,-754.578E-3,-802.027E-3
1.60877E-6,-838.456E-3,-755.120E-3,-820.316E-3
1.60881E-6,-861.874E-3,-755.432E-3,-836.944E-3
1.60884E-6,-883.100E-3,-755.594E-3,-850.131E-3
1.60887E-6,-903.119E-3,-755.718E-3,-860.908E-3
1.60888E-6,-909.145E-3,-755.757E-3,-863.834E-3
1.60890E-6,-921.195E-3,-755.851E-3,-869.247E-3
1.60893E-6,-945.296E-3,-756.110E-3,-878.298E-3
1.60897E-6,-969.048E-3,-756.473E-3,-884.965E-3
1.60902E-6,-1.00264,-757.137E-3,-891.102E-3
1.60906E-6,-1.03215,-757.807E-3,-894.167E-3
1.60910E-6,-1.05891,-758.430E-3,-895.793E-3
1.60915E-6,-1.08680,-759.058E-3,-896.839E-3
1.60919E-6,-1.11660,-759.686E-3,-897.555E-3
1.60924E-6,-1.14782,-760.286E-3,-898.062E-3
1.60930E-6,-1.18668,-760.952E-3,-898.531E-3
1.60937E-6,-1.23380,-761.647E-3,-899.065E-3
1.60943E-6,-1.27690,-762.199E-3,-899.658E-3
1.60949E-6,-1.31115,-762.608E-3,-900.231E-3
1.60953E-6,-1.34216,-762.957E-3,-900.846E-3
1.60958E-6,-1.36958,-763.242E-3,-901.515E-3
1.60961E-6,-1.39267,-763.454E-3,-902.235E-3
1.60964E-6,-1.41340,-763.620E-3,-903.078E-3
1.60967E-6,-1.43372,-763.773E-3,-904.159E-3
1.60970E-6,-1.45148,-763.932E-3,-905.355E-3
1.60973E-6,-1.46892,-764.168E-3,-906.770E-3
1.60975E-6,-1.48606,-764.571E-3,-908.377E-3
1.60978E-6,-1.50158,-765.198E-3,-909.982E-3
1.60980E-6,-1.51857,-766.380E-3,-911.857E-3
1.60983E-6,-1.53735,-768.681E-3,-914.011E-3
1.60986E-6,-1.55442,-772.062E-3,-915.998E-3
1.60988E-6,-1.57060,-776.691E-3,-917.879E-3
1.60991E-6,-1.58738,-783.029E-3,-919.809E-3
1.60993E-6,-1.60637,-791.766E-3,-921.970E-3
1.60996E-6,-1.62396,-800.777E-3,-923.965E-3
1.60998E-6,-1.63898,-808.781E-3,-925.677E-3
1.61000E-6,-1.65000,-814.689E-3,-926.935E-3
1.61000E-6,-1.65000,-814.780E-3,-926.723E-3
1.61000E-6,-1.65000,-814.851E-3,-926.500E-3
1.61000E-6,-1.65000,-814.918E-3,-926.229E-3
1.61000E-6,-1.65000,-814.957E-3,-926.031E-3
1.61001E-6,-1.65000,-814.994E-3,-925.812E-3
1.61001E-6,-1.65000,-815.025E-3,-925.578E-3
1.61001E-6,-1.65000,-815.048E-3,-925.336E-3
1.61001E-6,-1.65000,-815.066E-3,-925.064E-3
1.61001E-6,-1.65000,-815.077E-3,-924.762E-3
1.61002E-6,-1.65000,-815.082E-3,-924.438E-3
1.61002E-6,-1.65000,-815.081E-3,-924.094E-3
1.61002E-6,-1.65000,-815.076E-3,-923.726E-3
1.61002E-6,-1.65000,-815.068E-3,-923.325E-3
1.61003E-6,-1.65000,-815.058E-3,-922.875E-3
1.61003E-6,-1.65000,-815.046E-3,-922.356E-3
1.61004E-6,-1.65000,-815.033E-3,-921.739E-3
1.61005E-6,-1.65000,-815.018E-3,-920.981E-3
1.61006E-6,-1.65000,-815.003E-3,-920.149E-3
1.61007E-6,-1.65000,-814.989E-3,-919.286E-3
1.61009E-6,-1.65000,-814.976E-3,-918.393E-3
1.61010E-6,-1.65000,-814.963E-3,-917.465E-3
1.61012E-6,-1.65000,-814.953E-3,-916.533E-3
1.61015E-6,-1.65000,-814.947E-3,-915.624E-3
1.61018E-6,-1.65000,-814.945E-3,-914.742E-3
1.61023E-6,-1.65000,-814.949E-3,-913.926E-3
1.61028E-6,-1.65000,-814.960E-3,-913.263E-3
1.61034E-6,-1.65000,-814.976E-3,-912.694E-3
1.61041E-6,-1.65000,-814.998E-3,-912.159E-3
1.61051E-6,-1.65000,-815.027E-3,-911.589E-3
1.61064E-6,-1.65000,-815.061E-3,-910.961E-3
1.61077E-6,-1.65000,-815.090E-3,-910.389E-3
1.61091E-6,-1.65000,-815.117E-3,-909.858E-3
1.61105E-6,-1.65000,-815.140E-3,-909.357E-3
1.61120E-6,-1.65000,-815.161E-3,-908.881E-3
1.61137E-6,-1.65000,-815.179E-3,-908.428E-3
1.61155E-6,-1.65000,-815.196E-3,-907.999E-3
1.61174E-6,-1.65000,-815.211E-3,-907.596E-3
1.61195E-6,-1.65000,-815.225E-3,-907.222E-3
1.61219E-6,-1.65000,-815.237E-3,-906.878E-3
1.61244E-6,-1.65000,-815.248E-3,-906.567E-3
1.61273E-6,-1.65000,-815.258E-3,-906.290E-3
1.61305E-6,-1.65000,-815.266E-3,-906.048E-3
1.61341E-6,-1.65000,-815.274E-3,-905.842E-3
1.61381E-6,-1.65000,-815.281E-3,-905.672E-3
1.61427E-6,-1.65000,-815.288E-3,-905.538E-3
1.61479E-6,-1.65000,-815.293E-3,-905.438E-3
1.61537E-6,-1.65000,-815.298E-3,-905.368E-3
1.61603E-6,-1.65000,-815.302E-3,-905.321E-3
1.61679E-6,-1.65000,-815.306E-3,-905.292E-3
1.61770E-6,-1.65000,-815.310E-3,-905.276E-3
1.61882E-6,-1.65000,-815.313E-3,-905.268E-3
1.62019E-6,-1.65000,-815.316E-3,-905.266E-3
1.62183E-6,-1.65000,-815.319E-3,-905.266E-3
1.62383E-6,-1.65000,-815.321E-3,-905.266E-3
1.62629E-6,-1.65000,-815.323E-3,-905.267E-3
1.62935E-6,-1.65000,-815.324E-3,-905.267E-3
1.63320E-6,-1.65000,-815.326E-3,-905.266E-3
1.63810E-6,-1.65000,-815.327E-3,-905.266E-3
1.64439E-6,-1.65000,-815.328E-3,-905.266E-3
1.65242E-6,-1.65000,-815.329E-3,-905.266E-3
1.66230E-6,-1.65000,-815.330E-3,-905.266E-3
1.67448E-6,-1.65000,-815.330E-3,-905.266E-3
1.68952E-6,-1.65000,-815.330E-3,-905.266E-3
1.70816E-6,-1.65000,-815.331E-3,-905.266E-3
1.72816E-6,-1.65000,-815.331E-3,-905.266E-3
1.74816E-6,-1.65000,-815.331E-3,-905.266E-3
1.76816E-6,-1.65000,-815.331E-3,-905.266E-3
1.78816E-6,-1.65000,-815.331E-3,-905.266E-3
1.80816E-6,-1.65000,-815.331E-3,-905.266E-3
1.82816E-6,-1.65000,-815.331E-3,-905.266E-3
1.84816E-6,-1.65000,-815.331E-3,-905.266E-3
1.86816E-6,-1.65000,-815.331E-3,-905.266E-3
1.88816E-6,-1.65000,-815.331E-3,-905.266E-3
1.90816E-6,-1.65000,-815.331E-3,-905.266E-3
1.92816E-6,-1.65000,-815.331E-3,-905.266E-3
1.94816E-6,-1.65000,-815.331E-3,-905.266E-3
1.96816E-6,-1.65000,-815.331E-3,-905.266E-3
1.98408E-6,-1.65000,-815.331E-3,-905.266E-3
2.00000E-6,-1.65000,-815.331E-3,-905.266E-3
